epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,8936.39,1.25467,0.85448,0.00651,0.80913,0.66818,0.73971,0.51552,1.0516,0.5963,0.00626,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,9006.78,1.24318,0.85088,0.00657,0.80612,0.66939,0.73977,0.51582,1.0503,0.59544,0.00625,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,9078.14,1.24962,0.85146,0.00658,0.80533,0.67169,0.74057,0.51645,1.04959,0.59447,0.00624,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,9149.02,1.23981,0.85408,0.00662,0.80303,0.67275,0.7412,0.51751,1.04905,0.59307,0.00623,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,9219.77,1.24495,0.85078,0.00649,0.80523,0.67248,0.74161,0.51776,1.04808,0.59242,0.00623,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,9290.68,1.24536,0.84809,0.00657,0.81107,0.66738,0.74187,0.51824,1.04739,0.59178,0.00622,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,9362.37,1.2406,0.84699,0.00656,0.81306,0.66788,0.74264,0.51893,1.04653,0.59114,0.00621,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,9433.17,1.24964,0.84396,0.00645,0.81526,0.66807,0.74364,0.51983,1.046,0.59051,0.0062,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,9503.38,1.24657,0.84405,0.00647,0.81141,0.67186,0.74394,0.52022,1.0457,0.58905,0.0062,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,9574.48,1.24541,0.84127,0.0065,0.81403,0.67136,0.74444,0.5204,1.04518,0.58843,0.00619,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,9645.69,1.23342,0.8344,0.00647,0.81509,0.66924,0.74451,0.52053,1.04393,0.58808,0.00618,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,9716.48,1.24007,0.8452,0.00649,0.81361,0.67086,0.74466,0.52112,1.04362,0.58719,0.00617,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,9787.25,1.24359,0.84283,0.0064,0.81352,0.67263,0.74544,0.52175,1.04288,0.58626,0.00617,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,9858.67,1.22888,0.8241,0.00639,0.81434,0.67369,0.74578,0.52227,1.04205,0.5863,0.00616,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,9929.22,1.23734,0.8361,0.00637,0.81483,0.67419,0.74607,0.52256,1.04175,0.58522,0.00615,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,9999.74,1.23856,0.83134,0.00638,0.81216,0.67562,0.74674,0.52325,1.04085,0.58455,0.00614,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,10070.1,1.22098,0.82095,0.0064,0.81527,0.67596,0.74718,0.52375,1.04023,0.58396,0.00614,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,10141.5,1.22777,0.82375,0.00634,0.80914,0.68046,0.74758,0.52445,1.03964,0.58336,0.00613,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,10212.4,1.22125,0.819,0.00637,0.80976,0.67974,0.74782,0.52499,1.03896,0.58268,0.00613,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,10283.5,1.22889,0.82056,0.00635,0.8075,0.67962,0.7483,0.52549,1.03846,0.58243,0.00612,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,10354.2,1.22107,0.81393,0.00629,0.81024,0.67901,0.74872,0.52597,1.03798,0.58181,0.00611,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,10425.5,1.21613,0.80584,0.00635,0.81228,0.67928,0.74915,0.52644,1.03738,0.5812,0.00611,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,10495.9,1.21875,0.81344,0.00623,0.81581,0.67696,0.74921,0.52667,1.03674,0.58071,0.0061,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,10566.8,1.21045,0.81029,0.0063,0.81309,0.68022,0.74945,0.52698,1.03601,0.58053,0.0061,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,10637.8,1.21556,0.81235,0.00625,0.81366,0.67967,0.7495,0.52718,1.03542,0.57957,0.00609,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,10708.2,1.21274,0.80229,0.00632,0.81388,0.68175,0.74989,0.52779,1.03503,0.57902,0.00609,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,10779,1.20756,0.80689,0.00627,0.81463,0.6816,0.75014,0.52838,1.03445,0.57831,0.00608,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,10849.2,1.20865,0.8038,0.00624,0.81565,0.68259,0.75044,0.52873,1.03393,0.57772,0.00608,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,10919.8,1.20897,0.80227,0.00628,0.81125,0.68376,0.75059,0.52913,1.03348,0.57679,0.00607,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,10990.4,1.20864,0.79877,0.00618,0.81239,0.68414,0.75119,0.5294,1.03297,0.57614,0.00606,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,11060.9,1.20837,0.79713,0.00615,0.81231,0.68391,0.75139,0.52983,1.03254,0.57528,0.00606,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,11131.6,1.20624,0.79227,0.00615,0.81214,0.68392,0.75167,0.53008,1.03208,0.57453,0.00606,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,11202.6,1.20647,0.78822,0.00619,0.81145,0.68397,0.75201,0.53053,1.03171,0.57414,0.00605,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,11273.1,1.20522,0.7883,0.00612,0.81203,0.68541,0.75267,0.53089,1.0311,0.57359,0.00604,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,11343.7,1.20147,0.79141,0.00615,0.81375,0.68568,0.75274,0.5309,1.03068,0.57304,0.00604,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,11414.3,1.20232,0.78616,0.00616,0.81733,0.68301,0.75337,0.53149,1.03051,0.57214,0.00604,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,11485.6,1.19694,0.78829,0.00612,0.81574,0.68302,0.75361,0.5318,1.03007,0.57146,0.00603,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,11556.9,1.19583,0.78526,0.00608,0.81697,0.68352,0.75384,0.53237,1.0294,0.57091,0.00602,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,11627.7,1.20681,0.79292,0.0062,0.81572,0.68417,0.7541,0.53295,1.02893,0.57044,0.00602,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,11698.2,1.18618,0.77711,0.00614,0.81456,0.68609,0.75435,0.5332,1.02864,0.56985,0.00602,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,11768.6,1.19212,0.77995,0.00609,0.8137,0.68729,0.75481,0.53343,1.02803,0.56936,0.00601,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,11839.4,1.18654,0.77137,0.00606,0.81486,0.68588,0.75498,0.53364,1.02761,0.56861,0.00601,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,11910,1.18316,0.77349,0.00607,0.8127,0.68674,0.75538,0.53411,1.02733,0.56819,0.006,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
168,11980.7,1.1918,0.77382,0.00599,0.8158,0.68728,0.7559,0.53435,1.0269,0.56749,0.006,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,12051.2,1.1876,0.77595,0.00609,0.81821,0.68558,0.75611,0.53449,1.02617,0.56707,0.00599,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,12122.3,1.18097,0.75942,0.00601,0.81658,0.68702,0.75616,0.53489,1.02577,0.56656,0.00598,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,12193.4,1.17805,0.76063,0.00598,0.81685,0.68711,0.7564,0.53499,1.02538,0.56617,0.00598,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,12264.1,1.18053,0.76135,0.006,0.82293,0.68481,0.75644,0.53533,1.02493,0.56545,0.00598,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,12334.7,1.17895,0.76141,0.00597,0.81923,0.68734,0.75668,0.53537,1.02454,0.56529,0.00597,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,12404.8,1.17246,0.75511,0.00596,0.81741,0.68942,0.75672,0.53589,1.02407,0.56504,0.00597,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,12475.2,1.17547,0.76078,0.00592,0.81682,0.69032,0.75712,0.53619,1.02357,0.56429,0.00596,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,12546.1,1.1723,0.75569,0.00598,0.81823,0.69012,0.75747,0.53655,1.02331,0.56372,0.00596,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,12616.4,1.17793,0.7604,0.00597,0.81929,0.69054,0.75767,0.53659,1.0228,0.56312,0.00596,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,12687,1.18634,0.76261,0.00595,0.81837,0.69066,0.758,0.53697,1.02233,0.56252,0.00595,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
179,12757.7,1.17252,0.74974,0.00595,0.81823,0.69055,0.75821,0.53697,1.0218,0.56244,0.00595,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
180,12828.1,1.1623,0.75378,0.00595,0.81888,0.69033,0.75854,0.53717,1.02131,0.5618,0.00594,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395
181,12898.1,1.16222,0.74116,0.00586,0.82463,0.688,0.75903,0.53784,1.021,0.56101,0.00593,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
182,12968.3,1.17115,0.74695,0.00591,0.82148,0.68953,0.75935,0.53808,1.0208,0.56053,0.00593,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405
183,13039.2,1.16144,0.74105,0.00586,0.82455,0.68951,0.75974,0.53845,1.02036,0.56025,0.00593,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
184,13110.1,1.15988,0.74002,0.00593,0.82575,0.68974,0.7603,0.53899,1.0198,0.55963,0.00592,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415
185,13180.3,1.15914,0.74206,0.00586,0.82459,0.69067,0.76056,0.53922,1.0193,0.55939,0.00592,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
186,13250.6,1.16916,0.74935,0.00584,0.82749,0.68988,0.76081,0.53955,1.01889,0.55883,0.00591,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
187,13320.7,1.16255,0.7453,0.00585,0.82815,0.69036,0.76101,0.53976,1.01857,0.55815,0.00591,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
188,13391.4,1.1536,0.73105,0.00581,0.82907,0.6905,0.76131,0.53987,1.01803,0.5577,0.0059,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435
189,13461.8,1.16125,0.7329,0.00578,0.8263,0.692,0.76154,0.54039,1.01746,0.55722,0.0059,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
190,13532.2,1.14936,0.7328,0.0058,0.82544,0.69291,0.76193,0.54074,1.0172,0.55657,0.0059,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445
191,13604.3,1.12296,0.64348,0.00594,0.82524,0.69322,0.76203,0.54097,1.01674,0.55607,0.00589,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
192,13673.4,1.0995,0.61331,0.00563,0.82531,0.69318,0.76225,0.54115,1.01675,0.55554,0.00589,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455
193,13742.4,1.09519,0.60749,0.00557,0.82657,0.69377,0.76276,0.54171,1.01646,0.55525,0.00589,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
194,13812,1.09315,0.60864,0.00556,0.82604,0.69367,0.76303,0.54183,1.01591,0.55468,0.00588,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465
195,13881.1,1.09081,0.6071,0.00547,0.82652,0.6935,0.76336,0.54233,1.01557,0.55438,0.00588,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
196,13949.9,1.07875,0.60115,0.0055,0.82854,0.6908,0.76366,0.54248,1.01527,0.55382,0.00587,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
197,14018.5,1.08626,0.60547,0.00547,0.82782,0.6931,0.76406,0.54288,1.01501,0.55318,0.00587,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
198,14087.3,1.07864,0.59272,0.00543,0.82815,0.69329,0.7645,0.5433,1.01469,0.55253,0.00587,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485
199,14156,1.07799,0.59119,0.00539,0.83014,0.69328,0.76474,0.54375,1.01411,0.55216,0.00586,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
200,14224.5,1.07895,0.59467,0.00543,0.82907,0.69237,0.76501,0.54394,1.01366,0.55163,0.00586,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495
